panel,family,n,arm,ratio,lo,hi,seeds
laws,clustered_uniform,2000,binary,1.0681900698198628,1.0519939008834507,1.0943588676305158,3
laws,clustered_uniform,2000,caliber,1.0829838185837426,1.053773097126631,1.112055527694373,3
laws,clustered_uniform,2000,degree4,1.0328501271759223,1.019165695459083,1.043961078272074,3
laws,clustered_uniform,2000,fourary,1.0178680907615771,0.9995398948918712,1.0377379322657059,3
laws,clustered_uniform,2000,max_maxdegree,1.3675613834360547,1.3430995260926872,1.410527210652997,3
laws,clustered_uniform,2000,mean_degree,1.0244334742364207,1.0081631085074134,1.0351913481902677,3
laws,clustered_uniform,2000,mean_map,1.5171118869830917,1.496844856892929,1.5390063985833486,3
laws,clustered_uniform,2000,mean_ring,1.5875563907106642,1.5443450887832908,1.6275009800104943,3
laws,clustered_uniform,2000,selected_grid,1.6110966237858215,1.5793878425331502,1.6347699575916659,3
laws,clustered_zero,2000,binary,0.9500458073207819,0.9219567052166835,0.9679539537139958,3
laws,clustered_zero,2000,caliber,1.577581719759697,1.5338322800875788,1.6057422994088548,3
laws,clustered_zero,2000,degree4,0.9674558551304634,0.9484134762976614,0.9928891510468277,3
laws,clustered_zero,2000,fourary,0.8922230272951089,0.8856956237787164,0.9006190836536608,3
laws,clustered_zero,2000,max_maxdegree,1.9472172169187332,1.9414697401728673,1.9560415519969803,3
laws,clustered_zero,2000,mean_degree,1.9520189876237826,1.9034807301009342,1.9870867881807874,3
laws,clustered_zero,2000,mean_map,1.484255212861975,1.4637162524045066,1.5191015734668505,3
laws,clustered_zero,2000,mean_ring,1.4820659064448432,1.4433424103548231,1.508177257533793,3
laws,clustered_zero,2000,selected_grid,1.8677308779822286,1.785940481844516,1.9881982460448397,3
laws,sparse_bimodal,2000,binary,0.8364181197086362,0.828010211671426,0.8407967491088167,3
laws,sparse_bimodal,2000,caliber,1.0027802017535332,0.9850880708655819,1.015814028557878,3
laws,sparse_bimodal,2000,degree4,0.7484481896908608,0.7440665221703354,0.7546473165048649,3
laws,sparse_bimodal,2000,fourary,0.7036555667716053,0.674195037834084,0.7282648408756804,3
laws,sparse_bimodal,2000,max_maxdegree,1.9039834169290424,1.8799562238183962,1.9513004737676811,3
laws,sparse_bimodal,2000,mean_degree,1.830850579616901,1.7562922446032463,1.8782505178491993,3
laws,sparse_bimodal,2000,mean_map,1.9223558964640117,1.7918321071969003,1.997052214823816,3
laws,sparse_bimodal,2000,mean_ring,1.8263277930947386,1.7143053633871161,1.886614479567989,3
laws,sparse_bimodal,2000,radix,2.263911131479529,2.17132539585868,2.3501390046875694,3
laws,sparse_bimodal,2000,selected_grid,1.8682799002826842,1.8000859933731315,1.9505927223206814,3
laws,sparse_integer,2000,binary,0.9473770177402976,0.9256037321671057,0.9620102248501405,3
laws,sparse_integer,2000,caliber,1.1115121011543707,1.1057162172301738,1.1173456749382238,3
laws,sparse_integer,2000,degree4,0.8600434157884516,0.8553367418836276,0.8641556714355954,3
laws,sparse_integer,2000,fourary,0.7594400860528483,0.7535353920246314,0.7657703792060201,3
laws,sparse_integer,2000,max_maxdegree,1.509161548543247,1.417361588010972,1.5765147737347143,3
laws,sparse_integer,2000,mean_degree,1.4982375512466424,1.413575943316303,1.5717537474955012,3
laws,sparse_integer,2000,mean_map,1.7549014698614762,1.654763941939415,1.8578546452534421,3
laws,sparse_integer,2000,mean_ring,1.8578375577287811,1.8069934721972158,1.9200579793319204,3
laws,sparse_integer,2000,radix,1.5771945627138368,1.3885548651901707,1.6860810489533244,3
laws,sparse_integer,2000,selected_grid,1.9885072953352108,1.8540078289995134,2.0775547354917383,3
laws,sparse_near,2000,binary,0.960126662448971,0.9379861507365177,0.980390138165263,3
laws,sparse_near,2000,caliber,0.9387577081665694,0.9381273205408224,0.939792797183251,3
laws,sparse_near,2000,degree4,0.837640483160261,0.8305670729084244,0.8450209272730862,3
laws,sparse_near,2000,fourary,0.9544726477123568,0.9517091676289603,0.9589023745402695,3
laws,sparse_near,2000,max_maxdegree,1.6592967655424649,1.607483224025617,1.7113962331921393,3
laws,sparse_near,2000,mean_degree,1.6581307595227979,1.5711524484800143,1.7057988106942228,3
laws,sparse_near,2000,mean_map,1.2612458317164712,1.2328538528118156,1.2773609662038086,3
laws,sparse_near,2000,mean_ring,1.3454681102693062,1.3178489072276318,1.3910589582737871,3
laws,sparse_near,2000,selected_grid,1.765559735322595,1.727634102597676,1.7960373143721924,3
laws,sparse_scale,2000,binary,0.9715224881923754,0.9657452040408856,0.9813051748035856,3
laws,sparse_scale,2000,caliber,1.1311905758075578,1.1033062341636246,1.1535964098365654,3
laws,sparse_scale,2000,degree4,0.8819710620250417,0.8750855250494609,0.8950226030982558,3
laws,sparse_scale,2000,fourary,0.9565145539256534,0.9416681596457183,0.9830047424107368,3
laws,sparse_scale,2000,max_maxdegree,1.373193001458762,1.2992426876998118,1.4222345430318954,3
laws,sparse_scale,2000,mean_degree,1.3453101169162858,1.2961880508296062,1.4053039845706579,3
laws,sparse_scale,2000,mean_map,1.5417222253640648,1.38515074002648,1.6315539201941665,3
laws,sparse_scale,2000,mean_ring,1.6836437908758963,1.6170286025123672,1.724685020720806,3
laws,sparse_scale,2000,selected_grid,1.756598322224632,1.7046421323035346,1.8287984097073413,3
laws,sparse_shuffle,2000,binary,0.9702164718850449,0.9579095890424502,0.9885358910860581,3
laws,sparse_shuffle,2000,caliber,1.1080916018021887,1.0956149357342877,1.1280622582233262,3
laws,sparse_shuffle,2000,degree4,0.868103312131215,0.8505762732033876,0.8866191694355554,3
laws,sparse_shuffle,2000,fourary,0.9395161367153186,0.925277198445412,0.952474283694134,3
laws,sparse_shuffle,2000,max_maxdegree,1.3512761955087724,1.3331924577101288,1.3873751335817333,3
laws,sparse_shuffle,2000,mean_degree,1.313794412000482,1.238190839073069,1.3889270606813673,3
laws,sparse_shuffle,2000,mean_map,1.5454029579969963,1.5190514469639396,1.5775062809313647,3
laws,sparse_shuffle,2000,mean_ring,1.6809093970215503,1.6585018751390286,1.7045705322672082,3
laws,sparse_shuffle,2000,selected_grid,1.6834299420067762,1.5922480312390588,1.763806581415483,3
laws,sparse_skew,2000,binary,1.0005331792606957,0.9906516230521405,1.0055804820362468,3
laws,sparse_skew,2000,caliber,1.0810478739221858,1.0727942144515408,1.0949216201076877,3
laws,sparse_skew,2000,degree4,0.880060149665904,0.8655336031961776,0.8965662656786221,3
laws,sparse_skew,2000,fourary,0.9515790910753495,0.9230743186515663,0.9765427276953231,3
laws,sparse_skew,2000,max_maxdegree,1.732403098330247,1.669108846863726,1.7710070106700557,3
laws,sparse_skew,2000,mean_degree,1.4889544645361987,1.4697320161994873,1.5207313439525925,3
laws,sparse_skew,2000,mean_map,1.7165912615152108,1.680317501192248,1.735442060731909,3
laws,sparse_skew,2000,mean_ring,1.812145432589854,1.7364195081959573,1.9171371746736656,3
laws,sparse_skew,2000,selected_grid,1.66499547828778,1.4899833260299151,1.7803041343311912,3
laws,sparse_uniform,2000,binary,0.9635804030842522,0.9574271286708427,0.9679324659892667,3
laws,sparse_uniform,2000,caliber,1.1018269761610413,1.094088411276885,1.1083062447560308,3
laws,sparse_uniform,2000,degree4,0.8619521528237086,0.8429183445327995,0.8823033115602847,3
laws,sparse_uniform,2000,fourary,0.9437970857494375,0.92295687917316,0.9545230447996966,3
laws,sparse_uniform,2000,max_maxdegree,1.345783388936791,1.2920832669026459,1.3750156404490872,3
laws,sparse_uniform,2000,mean_degree,1.3258720689774455,1.2892275285196129,1.3572335814982495,3
laws,sparse_uniform,2000,mean_map,1.5833131823222013,1.5387009317856697,1.625654718582947,3
laws,sparse_uniform,2000,mean_ring,1.7095872243612027,1.6528167165074976,1.7666730337949614,3
laws,sparse_uniform,2000,selected_grid,1.7186463058137529,1.6485234990747182,1.7607022476040313,3
laws,sparse_zero,2000,binary,0.9480151130581684,0.9357287649477062,0.9670035958304627,3
laws,sparse_zero,2000,caliber,1.3494701827544069,1.3393530622218461,1.3579048345541962,3
laws,sparse_zero,2000,degree4,0.8357649539118867,0.8216488494688668,0.8566737472644869,3
laws,sparse_zero,2000,fourary,0.9043324914088793,0.8713780238566488,0.929718848604481,3
laws,sparse_zero,2000,max_maxdegree,1.4811522214411652,1.3926793976675425,1.5515531670975402,3
laws,sparse_zero,2000,mean_degree,1.4263948381873812,1.3317852086031219,1.5141805394650456,3
laws,sparse_zero,2000,mean_map,1.1092431400421394,1.0494907702798222,1.1447208883029671,3
laws,sparse_zero,2000,mean_ring,1.2031821060590682,1.1184274431030332,1.2513471598694232,3
laws,sparse_zero,2000,selected_grid,1.4509855034119905,1.3073353177566647,1.645641728899066,3
layout,bfs,5000,binary,0.9809706752980026,0.9647801013344824,1.0026467238282046,3
layout,bfs,5000,caliber,1.1138009068461683,1.084739834184528,1.1292015794085022,3
layout,bfs,5000,degree4,0.8456171150029062,0.8376267125031365,0.8568857594333922,3
layout,bfs,5000,fourary,0.9568343648487814,0.9412832829227417,0.9800522146851947,3
layout,bfs,5000,max_maxdegree,1.5415734379807844,1.5335716545312856,1.5542525076011473,3
layout,bfs,5000,mean_degree,1.493374554550601,1.4350825832570089,1.5485024496367965,3
layout,bfs,5000,mean_map,1.7219513392194752,1.634523988745324,1.79132952716203,3
layout,bfs,5000,mean_ring,1.9061012406894164,1.8883783420602462,1.9265552739993872,3
layout,bfs,100000,binary,0.9709857548009497,0.947057080297229,0.9872438327195482,3
layout,bfs,100000,caliber,1.0750917809731693,1.0652485795830238,1.08791274600876,3
layout,bfs,100000,degree4,0.8005726056604644,0.7937112886497459,0.8067475982285931,3
layout,bfs,100000,fourary,0.9730011467881831,0.9657398280692224,0.9789106432768996,3
layout,bfs,100000,max_maxdegree,1.8134780532112755,1.7813201525889548,1.8342234806029962,3
layout,bfs,100000,mean_degree,1.841692324361446,1.82990650576295,1.854811044200012,3
layout,bfs,100000,mean_map,1.7854076017333567,1.7706735368067374,1.792991826029989,3
layout,bfs,100000,mean_ring,1.8415486748014842,1.835188527886166,1.846896252840468,3
layout,destination,5000,binary,0.9716464829576671,0.9656499929628357,0.9770607992857226,3
layout,destination,5000,caliber,1.1110974585509337,1.0904386603008913,1.1285753413642026,3
layout,destination,5000,degree4,0.855699030001242,0.8476963054934677,0.8683165007560056,3
layout,destination,5000,fourary,0.9868691754916298,0.9785950366465733,0.997430979171705,3
layout,destination,5000,max_maxdegree,1.590714040441086,1.585519640016229,1.594726134422603,3
