family,seed,source,layout,arm,round,position,ns,prep_ns,ingest_ns
grid,42,333,identity,fourary,1,1,101600,0,11206100
grid,42,333,rcm,mean_ring,1,2,86100,341700,11206100
grid,42,333,bfs,fourary,1,3,100200,394700,11206100
grid,42,333,identity,mean_ring,1,4,99200,0,11206100
grid,42,333,rcm,fourary,1,5,113100,341700,11206100
grid,42,333,rcm,fourary,2,0,97800,341700,11206100
grid,42,333,identity,mean_ring,2,1,91300,0,11206100
grid,42,333,rcm,mean_ring,2,2,84400,341700,11206100
grid,42,333,identity,fourary,2,3,114400,0,11206100
grid,42,333,bfs,mean_ring,2,4,81500,394700,11206100
grid,42,333,bfs,fourary,2,5,110800,394700,11206100
grid,42,333,bfs,fourary,3,0,104200,394700,11206100
grid,42,333,bfs,mean_ring,3,1,78400,394700,11206100
grid,42,333,identity,fourary,3,2,100900,0,11206100
grid,42,333,rcm,mean_ring,3,3,99100,341700,11206100
grid,42,333,identity,mean_ring,3,4,73800,0,11206100
grid,42,333,rcm,fourary,3,5,112300,341700,11206100
grid,42,333,rcm,mean_ring,4,0,89600,341700,11206100
grid,42,333,bfs,fourary,4,1,131400,394700,11206100
grid,42,333,rcm,fourary,4,2,126900,341700,11206100
grid,42,333,bfs,mean_ring,4,3,156300,394700,11206100
grid,42,333,identity,fourary,4,4,133000,0,11206100
grid,42,333,identity,mean_ring,4,5,144000,0,11206100
grid,42,333,identity,mean_ring,5,0,143600,0,11206100
grid,42,333,identity,fourary,5,1,106300,0,11206100
grid,42,333,bfs,mean_ring,5,2,97400,394700,11206100
grid,42,333,rcm,fourary,5,3,101200,341700,11206100
grid,42,333,bfs,fourary,5,4,93900,394700,11206100
grid,42,333,rcm,mean_ring,5,5,90700,341700,11206100
grid,42,333,bfs,mean_ring,6,0,86000,394700,11206100
grid,42,333,identity,mean_ring,6,1,86000,0,11206100
grid,42,333,identity,fourary,6,2,114100,0,11206100
grid,42,333,rcm,mean_ring,6,3,82800,341700,11206100
grid,42,333,bfs,fourary,6,4,109100,394700,11206100
grid,42,333,rcm,fourary,6,5,114700,341700,11206100
grid,42,333,rcm,fourary,7,0,99700,341700,11206100
grid,42,333,bfs,fourary,7,1,96300,394700,11206100
grid,42,333,rcm,mean_ring,7,2,84000,341700,11206100
grid,42,333,identity,fourary,7,3,110500,0,11206100
grid,42,333,identity,mean_ring,7,4,84600,0,11206100
grid,42,333,bfs,mean_ring,7,5,72100,394700,11206100
grid,42,333,rcm,mean_ring,8,0,65600,341700,11206100
grid,42,333,identity,mean_ring,8,1,66100,0,11206100
grid,42,333,bfs,mean_ring,8,2,60400,394700,11206100
grid,42,333,bfs,fourary,8,3,110900,394700,11206100
grid,42,333,identity,fourary,8,4,106100,0,11206100
grid,42,333,rcm,fourary,8,5,96300,341700,11206100
grid,42,333,rcm,fourary,9,0,92400,341700,11206100
grid,42,333,identity,fourary,9,1,90100,0,11206100
grid,42,333,bfs,fourary,9,2,87800,394700,11206100
grid,42,333,bfs,mean_ring,9,3,101300,394700,11206100
grid,42,333,identity,mean_ring,9,4,96600,0,11206100
grid,42,333,rcm,mean_ring,9,5,90700,341700,11206100
grid,42,333,rcm,mean_ring,10,0,84900,341700,11206100
grid,42,333,identity,mean_ring,10,1,73100,0,11206100
grid,42,333,bfs,fourary,10,2,114900,394700,11206100
grid,42,333,identity,fourary,10,3,131000,0,11206100
grid,42,333,bfs,mean_ring,10,4,78300,394700,11206100
grid,42,333,rcm,fourary,10,5,104800,341700,11206100
grid,42,333,rcm,fourary,11,0,106800,341700,11206100
grid,42,333,bfs,mean_ring,11,1,95000,394700,11206100
grid,42,333,identity,fourary,11,2,101900,0,11206100
