case,training_source,multiplier,median_ns,total_calibration_ns,selected
46,0,2,828650,59345400,false
46,0,4,928050,59345400,false
46,0,8,869500,59345400,false
46,0,16,926750,59345400,false
47,0,0.03125,712900,44751200,false
47,0,0.05,659300,44751200,false
47,0,0.1,607600,44751200,false
47,0,0.25,594700,44751200,false
47,0,0.5,531000,44751200,true
47,0,0.75,537450,44751200,false
47,0,1,537650,44751200,false
47,0,1.5,600000,44751200,false
47,0,2,639600,44751200,false
47,0,4,632200,44751200,false
47,0,8,612350,44751200,false
47,0,16,583450,44751200,false
48,0,0.03125,859750,46145500,false
48,0,0.05,810800,46145500,false
48,0,0.1,725650,46145500,false
48,0,0.25,630400,46145500,false
48,0,0.5,577600,46145500,false
48,0,0.75,594600,46145500,false
48,0,1,569650,46145500,false
48,0,1.5,533550,46145500,true
48,0,2,554850,46145500,false
48,0,4,540700,46145500,false
48,0,8,590800,46145500,false
48,0,16,550350,46145500,false
