key,panel,family,n,seed,source,arm,median_margin_ms,margin_q25_ms,margin_q75_ms,median_ratio,positive_rounds,rounds
layout:27,layout,destination,100000,2026,66666,caliber,3.32025,-3.3690249999999997,5.947925,1.0698377960095549,5,8
layout:28,layout,random,100000,2026,33333,caliber,5.705550000000001,1.210425,6.079525,1.1290013283963818,7,8
layout:28,layout,random,100000,2026,66666,caliber,4.2763,3.25155,4.98505,1.0962792814073663,8,8
layout:29,layout,bfs,100000,2026,12031,caliber,2.9269499999999997,1.2854,5.117525,1.0671978348843751,8,8
layout:29,layout,bfs,100000,2026,93579,caliber,3.9222,2.2495,12.994375,1.077303962483,7,8
layout:3,layout,random,5000,42,1666,caliber,0.1028,0.08875,0.108625,1.1111364567966842,7,8
layout:3,layout,random,5000,42,3333,caliber,0.09684999999999999,0.068625,0.12107499999999999,1.1025155661535977,7,8
layout:30,layout,rcm,100000,2026,6420,caliber,3.3222,2.625125,4.29595,1.0731995637671663,7,8
layout:30,layout,rcm,100000,2026,87968,caliber,3.6105,1.72185,4.0783,1.0726665920705174,6,8
layout:4,layout,bfs,5000,42,623,caliber,0.0884,0.039224999999999996,0.14595,1.0951243749309594,7,8
layout:4,layout,bfs,5000,42,4621,caliber,0.0796,0.0049499999999999995,0.129075,1.0744537650719885,6,8
layout:5,layout,rcm,5000,42,378,caliber,0.1116,0.097825,0.139975,1.1191593933314776,7,8
layout:5,layout,rcm,5000,42,4376,caliber,0.10125,0.029900000000000003,0.12725,1.1022330875680952,7,8
layout:6,layout,weight,100000,42,33333,caliber,4.3782499999999995,1.153575,4.797025,1.1065112363787044,7,8
layout:6,layout,weight,100000,42,66666,caliber,4.70165,3.8921,5.21265,1.1132897114448066,7,8
layout:7,layout,destination,100000,42,33333,caliber,4.0826,2.30835,6.150775,1.0937701788145124,7,8
layout:7,layout,destination,100000,42,66666,caliber,2.8178,2.448,4.2629,1.06084790972495,8,8
layout:8,layout,random,100000,42,33333,caliber,4.70115,2.663525,5.383725,1.1125946506557098,8,8
layout:8,layout,random,100000,42,66666,caliber,4.5469,4.05535,5.160475,1.099936691398557,8,8
layout:9,layout,bfs,100000,42,3927,caliber,3.74535,3.21,4.79615,1.0879231856173746,8,8
layout:9,layout,bfs,100000,42,22537,caliber,3.8359,3.543525,4.1655500000000005,1.0879023065003233,8,8
roads:1,roads,NY,264346,0,37763,caliber,11.92665,7.9826,13.206375,1.2486969985721075,8,8
roads:1,roads,NY,264346,0,75527,caliber,8.56615,6.8095,9.7713,1.2198768438086451,8,8
roads:1,roads,NY,264346,0,113291,caliber,8.2366,7.7543999999999995,10.062225,1.186858454307585,8,8
roads:1,roads,NY,264346,0,151054,caliber,8.7453,7.9948,9.6213,1.2068320877037044,8,8
roads:1,roads,NY,264346,0,188818,caliber,10.52825,9.3583,11.021925,1.23867810713765,8,8
roads:1,roads,NY,264346,0,226582,caliber,7.0593,6.503475,8.445725,1.1764043339417443,8,8
roads:2,roads,BAY,321270,0,45895,caliber,12.4058,11.3002,13.241175,1.2941160935915217,8,8
roads:2,roads,BAY,321270,0,91791,caliber,11.902550000000002,10.741975,12.2438,1.2765072075349926,8,8
roads:2,roads,BAY,321270,0,137687,caliber,10.80105,10.476524999999999,12.726849999999999,1.245181914752075,8,8
roads:2,roads,BAY,321270,0,183582,caliber,12.98075,11.923225,13.350674999999999,1.2839178024920845,8,8
roads:2,roads,BAY,321270,0,229478,caliber,11.52585,10.617825,12.56805,1.2679208356654148,8,8
roads:2,roads,BAY,321270,0,275374,caliber,11.8788,10.941725,13.587875,1.2619201504406692,8,8
roads:3,roads,COL,435666,0,62238,caliber,16.0946,14.48235,19.317325,1.263269368473346,8,8
roads:3,roads,COL,435666,0,124476,caliber,16.55985,15.290575,17.628175,1.2759376007254342,8,8
roads:3,roads,COL,435666,0,186714,caliber,16.2541,14.53105,17.505274999999997,1.266410881367763,8,8
roads:3,roads,COL,435666,0,248952,caliber,16.01675,15.831875,17.506125,1.277398858442838,8,8
roads:3,roads,COL,435666,0,311190,caliber,16.796,15.3881,18.39525,1.2765292554786027,8,8
roads:3,roads,COL,435666,0,373428,caliber,19.634900000000002,16.6667,22.006075,1.3245567511384726,8,8
scale:1,scale,sparse_fast,10000,42,3333,caliber,0.06665,0.0395,0.205025,1.025233733891865,5,6
